lat,lon,date,species,fishing_hours
-52.0,-76.5,2021-05-01,Sardina Española,6.3
-52.5,-74.0,2021-08-01,Jurel,1.0
-55.5,-68.5,2023-10-01,Sardina Española,5.8
-55.5,-67.5,2021-07-01,Sardina Española,0.8
-51.0,-77.0,2023-11-01,Anchoveta,12.0
-51.0,-76.5,2023-05-01,Sardina Común,10.3
-56.0,-68.5,2022-12-01,Sardina Española,0.3
-54.0,-72.0,2024-05-01,Sardina Española,4.0
-54.0,-72.0,2024-08-01,Sardina Común,0.5
-54.5,-73.0,2024-08-01,Anchoveta,0.1
-53.5,-74.0,2021-09-01,Sardina Española,3.0
-55.5,-67.0,2024-12-01,Sardina Española,1.5
-51.0,-76.5,2024-04-01,Jurel,10.5
-56.0,-67.5,2024-11-01,Sardina Española,2.8
-56.0,-67.5,2021-08-01,Sardina Española,0.8
-52.0,-74.0,2022-04-01,Sardina Común,4.5
-53.0,-74.5,2020-03-01,Sardina Española,7.5
-56.0,-67.5,2021-10-01,Sardina Española,1.0
-54.5,-72.5,2023-10-01,Sardina Española,2.0
-55.5,-68.5,2022-10-01,Sardina Española,3.0
-52.5,-74.0,2021-12-01,Anchoveta,2.0
-56.0,-68.0,2022-12-01,Sardina Española,1.8
-51.0,-77.0,2023-05-01,Anchoveta,1.8
-55.5,-67.0,2020-08-01,Sardina Española,1.8
-54.5,-73.5,2024-08-01,Anchoveta,0.7
-53.5,-73.5,2021-07-01,Jurel,0.5
-54.5,-73.0,2024-09-01,Anchoveta,2.3
-51.0,-77.0,2019-11-01,Anchoveta,1.1
-56.0,-67.5,2024-10-01,Sardina Española,4.8
-51.0,-76.5,2023-01-01,Sardina Común,0.8
-56.0,-67.5,2022-08-01,Sardina Española,1.3
-55.5,-68.0,2022-12-01,Sardina Española,7.3
-52.0,-73.0,2022-03-01,Sardina Española,1.5
-52.5,-74.0,2021-09-01,Jurel,0.8
-56.0,-68.0,2022-11-01,Sardina Española,2.5
-52.5,-74.0,2021-09-01,Sardina Común,1.5
-55.5,-67.0,2024-07-01,Sardina Española,11.5
-52.5,-73.5,2022-03-01,Anchoveta,1.0
-56.0,-67.5,2021-09-01,Sardina Española,1.0
-56.0,-67.5,2021-11-01,Sardina Española,2.5
-52.5,-74.0,2021-09-01,Anchoveta,1.5
-52.5,-73.5,2022-03-01,Sardina Española,1.5
-55.5,-67.5,2024-11-01,Sardina Española,6.8
-51.0,-76.5,2024-05-01,Jurel,46.0
-51.5,-76.5,2021-05-01,Sardina Española,14.8
-55.5,-67.5,2024-10-01,Sardina Española,2.3
-56.0,-68.0,2023-12-01,Sardina Española,0.3
-51.0,-76.5,2024-06-01,Sardina Española,9.8
-56.0,-67.5,2020-12-01,Sardina Española,0.5
-52.5,-74.0,2021-12-01,Jurel,1.0
-51.5,-76.0,2021-05-01,Sardina Española,114.5
-55.5,-67.5,2024-12-01,Sardina Española,0.3
-55.5,-68.0,2022-10-01,Sardina Española,0.5
-55.5,-68.5,2022-12-01,Sardina Española,4.5
-51.0,-76.5,2024-04-01,Anchoveta,40.0
-52.0,-73.0,2022-03-01,Sardina Común,1.0
-51.0,-74.5,2023-04-01,Sardina Española,1.3
-53.0,-73.5,2021-07-01,Jurel,2.3
-51.0,-77.0,2023-05-01,Sardina Común,1.8
-53.5,-73.5,2021-07-01,Anchoveta,1.0
-51.0,-76.5,2024-06-01,Anchoveta,9.8
-51.0,-76.5,2024-04-01,Sardina Común,40.0
-51.0,-76.5,2019-11-01,Jurel,24.9
-53.0,-73.5,2021-07-01,Anchoveta,4.5
-54.5,-73.5,2024-10-01,Sardina Común,4.3
-56.0,-68.0,2021-12-01,Sardina Española,0.8
-55.5,-68.5,2021-11-01,Sardina Española,0.3
-54.5,-73.5,2024-09-01,Sardina Común,9.5
-56.0,-67.5,2022-10-01,Sardina Española,0.3
-54.5,-73.5,2024-08-01,Sardina Común,0.7
-55.5,-68.5,2022-09-01,Sardina Española,4.0
-52.0,-73.0,2023-03-01,Sardina Española,2.5
-52.5,-74.0,2021-12-01,Sardina Española,3.0
-51.0,-77.0,2019-11-01,Sardina Común,1.1
-51.0,-76.5,2022-02-01,Sardina Común,22.3
-51.0,-76.5,2024-04-01,Sardina Española,10.5
-52.5,-74.0,2020-04-01,Sardina Española,0.3
